Intrinsic	Sentence
Yes	Because less than 1% of the dose of oral bexarotene is excreted in the urine unchanged and there is in vitro evidence of extensive hepatic contribution to bexarotene elimination, hepatic impairment would be expected to lead to greatly decreased clearance (see ). 
No	Pain or a burning sensation with some spasm may occur, and is more marked in patients with arterial insufficiency. 
No	Clinical studies of ceftizoxime did not include sufficient numbers of subjects aged 65 and over to determine whether they respond differently from younger subjects. 
No	The safety and effectiveness of metformin for the treatment of type 2 diabetes have been established in pediatric patients ages 10-16 years (studies have not been conducted in pediatric patients below the age of 10 years). 
No	No overall differences in safety or effectiveness were observed between these subjects and younger subjects, and other reported clinical experience has not identified differences in responses between the elderly and younger patients, but greater sensitivity of some older individuals cannot be ruled out. 
Yes	In pediatric patients 11-15 years of age, oral doses of 0.5 mg/kg were associated with a mean area under the curve (AUC) similar to that seen in adults treated orally with 40 mg. 
No	This was particularly true in elderly patients who received an average daily dose greater than 60 mg/day of ketorolac tromethamine (Table 3A). 
No	It is not known whether topical Panretin 00AE> gel can modulate endogenous 9-cis-retinoic acid levels in a pregnant woman nor whether systemic exposure is increased by application to ulcerated lesions or by duration of treatment. 
Yes	Pediatric: The pediatric dose ranges from 0.3 mL/kg to 0.9 mL/kg. 
No	Clearance was found to decrease with a corresponding increase in half-life. 
No	The routine use of diuretics in an otherwise healthy woman is inappropriate and exposes mother and fetus to unnecessary hazard. 
Yes	Inflammation and/or other disease processes in the skin may increase percutaneous absorption. 
Yes	This dose will suffice for sedating most adult patients and ordinarily should not be exceeded in patients over 50 years of age. 
Yes	The dosage of the 50 percent solution for children under 6 months of age is 5 mL; for children 6 to 12 months of age, 6 mL to 8 mL; for children 1 to 2 years of age, 8 mL to 10 mL; for children 2 to 5 years of age, 10 mL to 12 mL; for children 5 to 7 years of age, 12 mL to 15 mL; for children 7 to 11 years of age, 15 mL to 18 mL, and for children 11 to 15 years of age, 18 mL to 20mL. 
No	Serious consideration should also be given to the possible hazards of the use of TOLINASE in women of child bearing age and in those who might become pregnant while using the drug. 
No	Manifestations of adrenal suppression in pediatric patients include linear growth retardation, delayed weight gain, low plasma cortisollevels, and absence of response to ACTH stimulation. 
Yes	Since mepivacaine is metabolized in the liver and excreted by the kidneys, it should be used cautiously in patients with liver and renal disease. 
No	Androgen therapy should be used very cautiously in children and only by specialists aware of the adverse effects on bone maturation. 
No	Drugs having anticholinergic properties should be used with caution in patients with narrow-angle glaucoma, prostatic hypertrophy, stenosing peptic ulcer, pyloroduodenal obstruction, and bladder-neck obstruction. 
No	Similarly, there was no tumorigenic potential observed with metformin in male rats. 
No	Safety and effectiveness of Rocaltrol in pediatric patients undergoing dialysis have not been established. 
No	Elderly patients are particularly susceptible to the hypoglycemic action of glucose lowering drugs. 
No	Methylphenidate Hydrochloride Tablets should not be used in children under six years of age (see ). 
Yes	In this pediatric population, mean Cmax was 116 pmol/L, mean serum half-life was 27.4 hours, and mean clearance was 15.3 mL/hr/kg.1 
Yes	Accumulation of atenolol and prolongation of its half-life were studied in subjects with creatinine clearance between 5 and 105 mL/min. 
Yes	No dosage adjustment is needed for elderly patients with normal renal function (ClCr 2265> 40 mL/min/1.73 
No	The overall incidence of drug-related adverse reactions, including central nervous system and gastrointestinal side effects, was less in the 2265>65 year group than the other age groups. 
No	The analgesic action of acetaminophen involves peripheral influences, but the specific mechanism is as yet undetermined. 
No	Proper patient selection and dosage and instructions are important to avoid hypoglycemic episodes. 
Yes	Limited data from controlled pharmacokinetic studies of metformin in healthy elderly subjects suggest that total plasma clearance of metformin is decreased, the half-life is prolonged, and Cmax is increased, compared to healthy young subjects. 
No	The same study showed that elderly ( 2265>65 years of age) and debilitated patients are more susceptible to gastrointestinal complications. 
Yes	The dosage of the 50 percent solution for children under 6 months of age is 5 mL; for children 6 to 12 months of age, 6 mL to 8 mL; for children 1 to 2 years of age, 8 mL to 10 mL; for children 2 to 5 years of age, 10 mL to 12 mL; for children 5 to 7 years of age, 12 mL to 15 mL; for children 7 to 11 years of age, 15 mL to 18 mL, and for children 11 to 15 years of age, 18 mL to 20mL. 
No	The steady-state pharmacokinetics of oral Rocaltrol were determined in a small group of pediatric patients (age range: 1.8 to 16 years) undergoing peritoneal dialysis. 
No	They are, therefore, also at greater risk of glucocorticosteroid insufficiency after withdrawal of treatment and of Cushing's syndrome while on treatment. 
No	Nevertheless, caution should be exercised when topical corticosteroids are administered to a nursing woman. 
No	A determination has not been made whether controlled clinical studies of ATARAX included sufficient numbers of subjects aged 65 and over to define a difference in response from younger subjects. 
Yes	Oral doses of 0.5 mg/kg achieved an AUC of 580 + 60 ng-hr/mL in pediatric patients 11-15 years of age compared to 482 00B1> 181 ng-hr/mL in adults treated with 40 mg orally. 
Yes	Doses for children should be proportionately less, depending on age and weight. 
Yes	In patients with advanced age, metformin should be carefully titrated to establish the minimum dose for adequate glycemic effect, because aging is associated with reduced renal function. 
No	Hypersensitivity reactions (pruritus, rash, urticaria, and very rarely severe erythematous skin disorders) may occur in susceptible individuals. 
No	The safety and effectiveness of trovafloxacin in pediatric patients and adolescents less than 18 years of age have not been established. 
No	The mean adult plasma clearance is approximately 20 to 30 ml/min/kg. 
Yes	Because elderly patients are more likely to have decreased renal function, care should be taken in dose selection, and it may be useful to monitor renal function. 
No	LIVER/BILIARY: increased hepatic enzymes, hepatic function abnormal, bilirubinemia, discolored feces, jaundice 
No	Of the more than 6000 patients treated with diclofenac in U.S. trials, 31% were older than 65 years of age. 
No	Note:Your physician may decide to increase OR decrease your dosage to achieve optimum results with GASTROCROM. 
No	Hyperuricemia may occur or frank gout may be precipitated in certain patients receiving thiazide therapy. 
No	Growth and development of infants and children on prolonged corticosteroid therapy should be carefully observed. 
No	Controlled clinical studies of metformin hydrochloride tablets did not include sufficient numbers of elderly patients to determine whether they respond differently from younger patients, although other reported clinical experience has not identified differences in responses between the elderly and younger patients. 
No	In pediatric patients who are acutely ill associated with dehydration, there is an increased susceptibility to dystonias with the use of Promethazine HCl Injection. 
No	Promethazine HCl Injection should be used with caution in patients with bone marrow depression. 
Yes	Individual dose should be tailored according to age, body size, and indication for examination. 
No	Greater sensitivity (e.g., sedation) of some older individuals cannot be ruled out. 
No	Accumulation of ketorolac tromethamine has not been studied in special populations (elderly patients, renal failure patients or hepatic disease patients). 
Yes	Caution should be used in treating patients with impaired hematologic, renal, or hepatic function. 
Yes	In one published study, Chinese subjects given intravenous morphine had a higher clearance when compared to Caucasian subjects (1852 +/- 116 ml/min compared to 1495 +/ 2011> 80 ml/min). 
No	Because many drugs are excreted in human milk, caution should be exercised when Mometasone Furoate Lotion 0.1% (mometasone furoate topical solution USP) is administered to a nursing woman. 
Yes	Renal or hepatic insufficiency may cause elevated blood levels of tolazamide and the latter may also diminish gluconeogenic capacity, both of which increase the risk of serious hypoglycemic reactions. 
No	A decrease in serum albumin, however, will result in increased free drug concentrations. 
No	Consequently, the recommended strategy for initiating therapy is to use a starting dose likely to be effective for the majority of patients and to adjust dosage thereafter based on observation of diclofenac 2019>s beneficial and adverse effects. 
No	This dosage will usually be associated with skeletal muscle weakness and sedation (sleepiness or drowsiness); adjustment can usually be made within the recommended dosage range to avoid incapacitation or excessive gastrointestinal irritation (including nausea and/or vomiting). 
No	These rare cases were associated with one or more of the following factors: age over 60, female gender, underlying cardiac disease, and/or use of multiple medications. 
No	Patients abnormally sensitive to lithium may exhibit toxic signs at serum levels of 1.0 to 1.5 mEq./l. 
No	With the prolonged half-life in these conditions, achievement of steady-state is delayed, so that it may take several days for elevated plasma concentrations to develop. 
No	However, an increased incidence of benign stromal uterine polyps was seen in female rats treated with 900 mg/kg/day. 
No	With either method, dose and dosing interval is then adjusted as needed (see discussion below). 
No	For Use in Chronic Spasticity: Prior to the administration of Dantrium, consideration should be given to the potential response to treatment. 
No	Titration of dose or discontinuance of drug may be necessary. 
No	Pain or a burning sensation with some spasm may occur, and is more marked in patients with arterial insufficiency. 
No	Dilutional hyponatremia may occur in edematous patients in hot weather. 
No	Generally, age greater than 65 years may be associated with a greater incidence of central-nervous-system depression and more respiratory depression. 
No	The routine use of diuretics in an otherwise healthy woman is inappropriate and exposes mother and fetus to unnecessary hazard. 
No	Borderline elevations, (i.e., less than 3 times the ULN [=the Upper Limit of the Normal range]), or greater elevations of transaminases occurred in about 15% of diclofenac-treated patients. 
No	The following laboratory tests have been found to be abnormal in a few patients receiving baclofen: increased SGOT, elevated alkaline phosphatase, and elevation of blood sugar. 
No	The range of dose strengths available may not be appropriate for treatment of very young pediatric patients. 
No	Thyroid Abnormalities: Euthyroid goiter and/or hypothyroidism (including myxedema) accompanied by lower T3 and T4. 
No	Due to its potential anticholinergic action, this drug should be used with caution in patients with asthma, glaucoma, or enlargement of the prostate gland. 
Yes	Atropine clearance in children under 2 years old and in the elderly is decreased in relation to normal healthy adults. 
Yes	m2, the mean AUC after a single 400-mg dose of lomefloxacin increased 335% over the AUC demonstrated in patients with a ClCr> 80 mL/min/1.73 
No	As a sedative when used as premedication and following general anesthesia, Hydroxyzine may potentiate meperidine (Demerol 00AE>) and barbiturates, so their use in pre-anesthetic adjunctive therapy should be modified on an individual basis. 
No	The safety and efficacy of tramadol hydrochloride in patients under 16 years of age have not been established. 
No	Safety and effectiveness of Rocaltrol in pediatric patients undergoing dialysis have not been established. 
No	Systemic absorption of topical corticosteroids has produced reversible hypothalamic-pituitary-adrenal (HPA) axis suppression, manifestations of Cushing's syndrome, hyperglycemia, and glucosuria in some patients. 
No	RESPIRATORY DEPRESSION AND APNEA, SOMETIMES ASSOCIATED WITH DEATH, ARE STRONGLY ASSOCIATED WITH PROMETHAZINE PRODUCTS AND NOT FIRMLY WEIGHT-RELATED, WHICH MIGHT OTHERWISE PERMIT SAFE ADMINISTRATION OF INDIVIDUALIZED DOSING. 
No	The risk of lactic acidosis increases with the degree of renal dysfunction and the patient 2019>s age. 
No	Use with extreme caution in patients with concomitant hepatorenal disease. 
No	Clinical studies of lorazepam generally were not adequate to determine whether subjects aged 65 and over respond differently than younger subjects, however, age over 65 years may be associated with a greater incidence of central nervous system depression and more respiratory depression (see,, and ). 
Yes	Dose selection should include assessment of renal function. 
No	No pharmacokinetic studies have been conducted in subjects with hepatic insufficiency. 
No	Although azotemia is not considered a contraindication, care is required in patients with advanced renal failure. 
Yes	Adjustment of the daily dose is recommended for patients older than 75 years (see). 
No	Individual tolerance varies greatly but systemic doses of 0.5 to 10 mg are likely to produce the following effects, which were not observed in the 235 patients treated with ENLON-PLUS: 
No	Patients receiving injectable radiopaque diagnostic agents should be instructed to: Inform the physician if they are pregnant (see )., Inform the physician if they are diabetic or if they have multiple myeloma, pheochromocytoma, homozygous sickle cell disease or known thyroid disorder (see )., Inform the physician if they are allergic to any drugs, food, or if they have had any reactions to previous injections of dyes used for x-ray procedures (see )., Inform the physician about any other medications they are currently taking, including nonprescription drugs, before they are administered this drug.. 
No	Respiratory depression occurs more frequently in elderly or debilitated patients and in those suffering from conditions accompanied by hypoxia, hypercapnia, or upper airway obstruction, in whom even moderate therapeutic doses may significantly decrease pulmonary ventilation. 
No	Promethazine HCl Injection should be used with caution in pediatric patients 2 years of age and older (see 201C> 201D>). 
No	Because animal reproduction studies are not always predictive of human response, MYKROX Tablets should be used during pregnancy only if clearly needed. 
No	Ketorolac tromethamine should be used with caution in patients with impaired renal function or a history of kidney disease because it is a potent inhibitor of prostaglandin synthesis. 
No	Of the total number of subjects enrolled in US and foreign controlled clinical trials of oral formulations of ranitidine, for which there were subgroup analyses, 4,197 were 65 and over, while 899 were 75 and over. 
Yes	Cumulative effects of the drug may develop in patients with impaired renal function. 
No	The rate of development of tolerance varies among patients. 
No	No specific studies have been conducted with Targretin 00AE> gel in patients with hepatic insufficiency. 
No	As with any narcotic analgesic agent, hydrocodone bitartrate and acetaminophen tablets should be used with caution in elderly or debilitated patients, and those with severe impairment of hepatic or renal function, hypothyroidism, Addison 2019>s disease, prostatic hypertrophy or urethral stricture. 
Yes	The plasma clearance was 6.4 mL/min/kg in males and 5.7 mL/min/kg in females following a 100 mg IV dose of tramadol. 
No	The antihypertensive effects of the drug may be enhanced in the postsympathectomy patient. 
Yes	As with any narcotic analgesic agent, hydrocodone bitartrate and acetaminophen tablets should be used with caution in elderly or debilitated patients, and those with severe impairment of hepatic or renal function, hypothyroidism, Addison 2019>s disease, prostatic hypertrophy or urethral stricture. 
No	While this is usually reversible, it is important in such patients to pay careful attention to those factors which may lead to hypercalcemia. 
Yes	The oral clearance of trovafloxacin was reduced 30% in both cirrhosis groups, which corresponded to prolongation of half life by 2 2013>2.5 hours (25 2013>30% increase) compared to controls. 
Yes	In one published study, Chinese subjects given intravenous morphine had a higher clearance when compared to Caucasian subjects (1852 +/- 116 ml/min compared to 1495 +/ 2011> 80 ml/min). 
Yes	Maxlmum Dose for pediatric population =Child's Weight ( lbs ) Maximum Recommended Dose For Adults (400 mg) 
No	Opioid analgesics can have a narrow therapeutic index in certain patient populations, particularly when combined with CNS depressant drugs. 
No	These measures must be individualized, but it will usually be necessary to discontinue the suspect triggering agents, attend to increased oxygen requirements, manage the metabolic acidosis, institute cooling when necessary, monitor urinary output, and monitor for electrolyte imbalance. 
Yes	Because of the hemodynamic changes which may occur on injection into the right heart outflow tract, special care, especially regarding dosage, should be observed in patients with right ventricular failure, pulmonary hypertension, or obliterated pulmonary vascular beds. 
No	For women of childbearing potential who become or are planning to become pregnant, a physician should be consulted regarding analgesics and other drug use. 
Yes	Elderly patients often respond to reduced dosage, and may exhibit signs of toxicity at serum levels ordinarily tolerated by other patients. 
Yes	Hepatic Failure: Morphine pharmacokinetics have been reported to be significantly altered in patients with cirrhosis. 
No	Therefore, growth should be monitored during treatment with stimulants, and patients who are not growing or gaining height or weight as expected may need to have their treatment interrupted. 
No	Clinical studies of meperidine during product development did not include sufficient numbers of subjects aged 65 and over to evaluate age-related differences in safety or efficacy. 
No	Recent reports of thyroid storm occurring following the intravascular use of iodinated radiopaque diagnostic agents in patients with hyperthyroidism or with an autonomously functioning thyroid nodule suggest that this additional risk be evaluated in such patients before use of diatrizoate salts. 
No	Approximately 65% of an orally administered dose was excreted in the urine as unchanged drug in patients with normal renal function. 
Yes	The elimination half-life of calcitriol increased by at least twofold in chronic renal failure and hemodialysis patients compared with healthy subjects. 
No	Sudden death has been reported in association with CNS stimulant treatment at usual doses in children and adolescents with structural cardiac abnormalities or other serious heart problems. 
No	Individualization of dosage is essential to make optimal use of this medication. 
No	The rate of development of tolerance varies among patients. 
No	The prescriber should be aware that these figures cannot be used to predict the frequency of adverse events in the course of usual medical practice where patient characteristics and other factors may differ from those prevailing during clinical studies. 
No	AVINZA should be used with caution in patients with biliary tract disease, including acute pancreatitis, as morphine may cause spasm of the sphincter of Oddi and diminish biliary and pancreatic secretions. 
No	Androgens may decrease levels of thyroxine-binding globulin, resulting in decreased total T4 serum levels and increased resin uptake of T3 and T4. 
No	Patients with normal renal function taking Rocaltrol should avoid dehydration. 
No	Corticosteroids are bound to plasma proteins in varying degrees. 
Yes	Because elderly patients are more likely to have decreased renal function, care should be taken in dose selection, and it may be useful to monitor renal function. 
Yes	Pediatric: The pediatric dose ranges from 0.3 mL/kg to 0.9 mL/kg. 
No	Reported cases have occurred primarily in diabetic patients with significant renal insufficiency, including both intrinsic renal disease and renal hypoperfusion, often in the setting of multiple concomitant medical/surgical problems and multiple concomitant medications. 
No	Morphine should be used with caution in patients about to undergo surgery of the biliary tract since it may cause spasm of the sphincter of Oddi. 
No	In patients with cardiovascular disease, given anesthesia with narcotic and nitrous oxide without a potent inhalational agent, there is increased risk for clinically significant bradycardia. 
No	Premature infants, or infants with impaired renal function, may be more likely to develop adverse effects. 
No	Reports suggest that Diethylpropion hydrochloride may increase convulsions in some epileptics. 
No	Female rats at the highest dose level showed an increased incidence of hepatic lymphangiomas and hepatic angiosarcomas. 
No	Safety and efficacy in pediatric patients (less than 16 years of age) have not been established. 
No	Hypoglycemia may be difficult to recognize in the elderly and in people who are taking beta-adrenergic blocking drugs. 
No	Cases of hyponatremia have been reported with tolazamide and all other sulfonylureas, most often in patients who are on other medications or have medical conditions known to cause hyponatremia or increase release of antidiuretic hormone. 
No	Since CNS adverse effects have been reported in patients with moderate and severe renal insufficiency, to avoid excess accumulation of the drug in patients with moderate or severe renal insufficiency, the dose of FLUXID 2122> may be reduced to half the dose or the dosing interval may be prolonged to 36-48 hours as indicated by the patient 2019>s clinical response. 
No	Metformin should be given in divided 313doses with meals and should be started at a low dose, with gradual dose escalation, both to reduce gastrointestinal side effects and to permit identification of the minimum dose required for adequate glycemic control of the patient. 
No	Use with extreme caution in patients with concomitant hepatorenal disease. 
No	regimen, particularly in subjects aged 54 years and older. 
No	Dosing guidelines have not been established for pediatric patients under 1 year of age with hypoparathyroidism or for pediatric patients less than 6 years of age with pseudohypoparathyroidism (see ). 
Yes	The dosage of famotidine in patients with pathological hypersecretory conditions varies with the individual patient. 
No	A favorable ratio of potassium to sodium excretion lessens the possibility of hypokalemia. 
No	The M3G and M6G to morphine plasma AUC ratios also decreased in these subjects, indicating diminished metabolic activity. 
No	A summary of the incidence of adverse events related to congestive heart failure reported in this study is provided in Table 7. 
No	Almost all patients (95%) were receiving cardiovascular medications (beta blockers, ACE inhibitors, angiotensin II receptor blockers, calcium channel blockers, nitrates, diuretics, aspirin, statins and fibrates). 
No	500 mg every 12 hours or 250 mg every 6 hours for 10 to 14 days. 
No	There have been isolated reports of reversible hearing loss occurring chiefly in patients with renal insufficiency and in patients receiving high doses of erythromycin. 
No	Elderly patients are at greater risk for serious gastrointestinal events (see ). 
No	It is nonacidic, freely soluble in acetone, sparingly soluble in alcohol and in methanol, practically insoluble in water. 
No	Studies utilizing 51Cr-tagged red blood cells in healthy males showed no difference in fecal blood loss after 3 or 4 weeks 2019> administration of 1,000 mg or 2,000 mg of nabumetone daily when compared to either placebo-treated or nontreated subjects. 
Yes	Additionally, the renal excretion of 6MNA in the moderate renal impaired patients decreased on average by 33% compared to that in the normal patients. 
No	Pharmacokinetics: After oral administration, approximately 80% of a radiolabelled dose of nabumetone is found in the urine, indicating that nabumetone is well absorbed from the gastrointestinal tract. 
No	Nabumetone itself is not detected in the plasma because, after absorption, it undergoes rapid biotransformation to the principal active metabolite, 6-methoxy-2- naphthylacetic acid (6MNA). 
No	Approximately 35% of a 1,000 mg oral dose of nabumetone is converted to 6MNA and 50% is converted into unidentified metabolites which are subsequently excreted in the urine. 
No	This may result from the higher fraction of unbound 6MNA which undergoes greater hepatic clearance. 
No	Coadministration of food increases the rate of absorption and subsequent appearance of 6MNA in the plasma but does not affect the extent of conversion of nabumetone into 6MNA. 
Yes	Renal Insufficiency: In moderate renal insufficiency patients (creatinine clearance 30 to 49 mL/min), the terminal half-life of 6MNA was increased by approximately 50% (39.2 00B1> 7.8 hrs, N=12) compared to the normal subjects (26.9 00B1> 3.3 hrs, N=13), and there was a 50% increase in the plasma levels of unbound 6MNA. 
Yes	Additionally, the renal excretion of 6MNA in the moderate renal impaired patients decreased on average by 33% compared to that in the normal patients. 
Yes	A similar increase in the mean terminal half-life of 6MNA was seen in a small study of patients with severe renal dysfunction (creatine clearance 30 mL/min). 
No	Dosage adjustment of nabumetone generally is not necessary in patients with mild renal insufficiency ( 2265>50 mL/min). 
No	To minimize the potential risk for an adverse CV event in NSAID-treated patients, use the lowest effective dose for the shortest duration possible. 
No	In a Danish National Registry study of patients with heart failure, NSAID use increased the risk of MI, hospitalization for heart failure, and death. 
No	Discontinuation of a concomitantly used cytochrome P450 2D6 inhibitor may result in a decrease in tramadol plasma levels and an increase in active metabolite M1 levels, which could increase or prolong adverse reactions related to opioid toxicity and may cause potentially fatal respiratory depression. 
No	The concomitant use of tramadol hydrochloride extended-release tablets with all cytochrome P450 3A4 inducers or discontinuation of a cytochrome P450 3A4 inhibitor may result in lower tramadol levels. 
Yes	Because renal excretion is the primary route of elimination, adjustment of CUBICIN RF dosage interval is necessary in adult patients with severe renal impairment (CLCR 30 mL/min) [see ]. 
No	When possible, CUBICIN RF should be administered following the completion of hemodialysis on hemodialysis days [see,,, and ]. 
No	Do not exceed the listed shelf-life of reconstituted and diluted solutions of CUBICIN RF. 
No	Patients receiving CUBICIN RF should be monitored for the development of muscle pain or weakness, particularly of the distal extremities. 
No	In patients who receive CUBICIN RF, CPK levels should be monitored weekly, and more frequently in patients who received recent prior or concomitant therapy with an HMG-CoA reductase inhibitor or in whom elevations in CPK occur during treatment with CUBICIN RF. 
Yes	Because elderly patients are more likely to have decreased renal function, care should be taken in dose selection, and it may be useful to monitor renal function. 
Yes	In general, dose selection for an elderly patient should be cautious, usually starting at the low end of the dosing range, reflecting the greater frequency of decreased hepatic, renal or cardiac function, and of concomitant disease or other drug therapy. 
No	In addition, for patients less than 5 years of age, there is no appropriate dosage strength in an age-appropriate formulation available. 
Yes	The geometric mean AUC estimated from population PK analysis after a 40 mg pantoprazole sodium delayed-release tablet in pediatric patients was about 39% and 10% higher respectively in 6 to 11 and 12 to 16 year-old children, compared to that of adults (Table 7). 
Yes	In addition, in patients with severe hepatic cirrhosis, the bupropion Cmax and AUC were substantially increased (mean difference: by approximately 70% and 3-fold, respectively) and more variable when compared to values in healthy volunteers; the mean bupropion half-life was also longer (29 hours in patients with severe hepatic cirrhosis vs. 19 hours in healthy subjects). 
Yes	The mean half-lives for hydroxybupropion and threo/erythrohydrobupropion were increased 5- and 2-fold, respectively, in patients with severe hepatic cirrhosis compared to healthy volunteers (see,, and ). 
No	Renal: There is limited information on the pharmacokinetics of bupropion in patients with renal impairment. 
Yes	An inter-study comparison between normal subjects and patients with end-stage renal failure demonstrated that the parent drug Cmax and AUC values were comparable in the 2 groups, whereas the hydroxybupropion and threohydrobupropion metabolites had a 2.3- and 2.8-fold increase, respectively, in AUC for patients with end-stage renal failure. 
Yes	The elimination of bupropion and/or the major metabolites of bupropion may be reduced by impaired renal function (see ). Left Ventricular Dysfunction: During a chronic dosing study with bupropion in 14 depressed patients with left ventricular dysfunction (history of CHF or an enlarged heart on x-ray), no apparent effect on the pharmacokinetics of bupropion or its metabolites was revealed, compared to healthy volunteers. 
Yes	Age: The effects of age on the pharmacokinetics of bupropion and its metabolites have not been fully characterized, but an exploration of steady-state bupropion concentrations from several depression efficacy studies involving patients dosed in a range of 300 to 750 mg/day, on a 3 times daily schedule, revealed no relationship between age (18 to 83 years) and plasma concentration of bupropion. 
No	A single-dose pharmacokinetic study demonstrated that the disposition of bupropion and its metabolites in elderly subjects was similar to that of younger subjects. 
No	Smokers: The effects of cigarette smoking on the pharmacokinetics of bupropion were studied in 34 healthy male and female volunteers; 17 were chronic cigarette smokers and 17 were nonsmokers. 
No	Bupropion was well tolerated in depressed patients who had previously developed orthostatic hypotension while receiving tricyclic antidepressants, and was also generally well tolerated in a group of 36 depressed inpatients with stable congestive heart failure (CHF). 
Yes	Published frequencies for poor CYP2C19 metabolizer genotypes are approximately 2% for whites, 4% for blacks and 14% for Chinese. 
No	Tests are available to determine a patient 2019>s CYP2C19 genotype. 
No	Fetal testing may be appropriate, based on the week of pregnancy. 
No	There have been isolated reports of hearing loss, which is usually reversible, occurring chiefly in elderly women. 
No	Keep a list of them and show it to your healthcare provider and pharmacist when you get a new medicine. 
Yes	Over the age of 10 years, children have pharmacokinetic parameters that approximate those of adults. 
No	The decision to use any of these medications is one that you and your doctor should make together, taking into account your individual needs and medical condition. 
No	It is not known whether the risk of neural tube defects or decreased IQ in the offspring of women receiving valproate is reduced by folic acid supplementation. 
No	It is recommended that patients receiving divalproex sodium be monitored for platelet count and coagulation parameters prior to planned surgery. 
No	Lorazepam Concomitant administration of valproate (500 mg BID) and lorazepam (1 mg BID) in normal male volunteers (n=9) was accompanied by a 17% decrease in the plasma clearance of lorazepam. 
No	The dosage of phenytoin should be adjusted as required by the clinical situation. 
No	Animal breast milk drug levels may not accurately reflect human breast milk levels. 
No	NOTE: As with many other drugs, certain advice to patients being treated with Lisinopril Tablets is warranted. 
Yes	Pharmacokinetics of levetiracetam were evaluated in 16 elderly subjects (age 61 to 88 years) with creatinine clearance ranging from 30 to 74 mL/min. 
Yes	Pharmacokinetic studies revealed a decreased clearance in the elderly. 
Yes	Levetiracetam Cmax and AUC were 20% higher in women (N=11) compared to men (N=12). 
Yes	The body weight adjusted apparent clearance of levetiracetam was approximately 40% higher than in adults. 
Yes	Because elderly patients are more likely to have decreased renal function, care should be taken in dose selection. 
Yes	Older patients, on average, have (approximately doubled) higher blood levels and area under the plasma concentration time curve (AUC) than younger patients. 
No	Concomitant use of clarithromycin and colchicine is contraindicated in patients with renal or hepatic impairment (see ). 
No	The dose of colchicine should be reduced when co-administered with clarithromycin in patients with normal renal and hepatic function. 
Yes	Total body clearance of levetiracetam is reduced in patients with impaired renal function by 40% in the mild group (CLcr = 50 to 80 mL/min), 50% in the moderate group (CLcr = 30 to 50 mL/min) and 60% in the severe renal impairment group (CLcr 30 mL/min). 
